customer_id,city_id,signup_date,age_group,customer_segment
1,3,2026-07-12,18-25,Frequent
2,2,2026-02-21,36-45,Budget
3,1,2025-11-19,18-25,Premium
4,4,2026-07-19,46-60,Premium
5,3,2026-04-16,26-35,Premium
6,3,2025-10-12,26-35,Occasional
7,2,2026-01-16,18-25,Occasional
8,2,2026-05-29,36-45,Occasional
9,4,2026-07-19,26-35,Frequent
10,2,2025-12-23,18-25,Frequent
11,2,2025-12-24,18-25,Premium
12,2,2025-11-08,36-45,Frequent
13,5,2026-07-16,18-25,Frequent
14,1,2026-01-27,36-45,Occasional
15,5,2026-05-15,36-45,Occasional
16,4,2026-04-22,26-35,Frequent
17,5,2025-12-15,18-25,Premium
18,4,2026-02-23,18-25,Frequent
19,2,2026-01-24,18-25,Occasional
20,1,2026-06-24,18-25,Frequent
21,4,2026-06-08,36-45,Occasional
22,3,2026-04-12,26-35,Budget
23,3,2026-03-25,18-25,Occasional
24,3,2026-04-14,18-25,Premium
25,5,2025-09-12,46-60,Occasional
26,4,2025-10-11,36-45,Occasional
27,5,2026-04-27,18-25,Budget
28,4,2026-07-27,36-45,Budget
29,2,2026-02-06,18-25,Frequent
30,2,2026-02-10,26-35,At-Risk
31,1,2025-12-09,36-45,Occasional
32,5,2026-03-25,46-60,Budget
33,5,2025-11-14,18-25,At-Risk
34,3,2025-10-21,46-60,Premium
35,5,2026-03-19,26-35,Premium
36,2,2026-07-12,26-35,Frequent
37,4,2026-04-25,26-35,Budget
38,4,2026-01-30,46-60,Frequent
39,2,2026-04-14,26-35,Occasional
40,2,2025-09-25,18-25,Occasional
41,2,2025-10-24,46-60,Occasional
42,3,2026-03-06,18-25,Budget
43,5,2026-03-16,18-25,Frequent
44,3,2026-07-27,26-35,Frequent
45,5,2025-09-26,46-60,Premium
46,5,2025-12-18,18-25,Frequent
47,1,2025-09-21,46-60,Premium
48,3,2025-11-09,36-45,Budget
49,5,2025-09-19,18-25,Premium
50,4,2025-10-10,36-45,Premium
51,1,2026-03-28,18-25,Occasional
52,4,2025-09-10,36-45,Occasional
53,4,2026-04-08,18-25,Budget
54,4,2026-08-07,46-60,Occasional
55,3,2026-04-12,26-35,At-Risk
56,4,2025-10-03,26-35,Premium
57,2,2025-08-30,18-25,At-Risk
58,2,2026-07-31,26-35,Budget
59,4,2026-06-05,26-35,Budget
60,5,2026-07-08,26-35,Premium
61,5,2026-05-12,26-35,At-Risk
62,4,2026-02-22,46-60,Budget
63,5,2026-07-04,26-35,Frequent
64,5,2025-10-26,18-25,Occasional
65,5,2026-06-07,18-25,Budget
66,1,2025-11-15,46-60,Frequent
67,3,2025-11-10,46-60,Premium
68,1,2026-05-04,26-35,Occasional
69,1,2026-05-26,18-25,Budget
70,4,2026-01-01,18-25,Occasional
71,3,2026-04-11,18-25,Budget
72,2,2025-09-01,46-60,Budget
73,5,2026-04-23,18-25,Occasional
74,3,2026-05-30,36-45,Budget
75,1,2026-02-25,46-60,At-Risk
76,1,2025-09-17,46-60,Frequent
77,3,2026-01-28,26-35,Occasional
78,5,2026-07-26,46-60,Premium
79,3,2026-03-23,36-45,Occasional
80,2,2026-05-31,46-60,Frequent
81,3,2025-11-13,46-60,Budget
82,2,2025-12-08,36-45,Budget
83,1,2025-11-26,18-25,Budget
84,5,2026-06-29,18-25,Frequent
85,1,2026-02-23,18-25,At-Risk
86,2,2026-07-27,26-35,Frequent
87,5,2026-06-01,26-35,At-Risk
88,3,2026-01-31,46-60,Budget
89,4,2026-03-07,36-45,Frequent
90,3,2026-07-01,36-45,Occasional
91,4,2026-01-30,18-25,At-Risk
92,3,2026-07-24,18-25,Occasional
93,2,2025-10-16,46-60,At-Risk
94,5,2026-06-15,36-45,Budget
95,4,2025-11-08,46-60,At-Risk
96,3,2026-05-19,18-25,At-Risk
97,3,2026-03-28,36-45,Budget
98,1,2026-05-11,26-35,Occasional
99,3,2026-02-15,36-45,Occasional
100,2,2026-07-20,18-25,Occasional
101,1,2025-11-23,46-60,Occasional
102,5,2025-11-10,18-25,Occasional
103,1,2025-12-26,18-25,Budget
104,5,2025-11-18,36-45,Budget
105,2,2025-10-18,18-25,Occasional
106,1,2026-04-08,18-25,Budget
107,4,2025-11-13,36-45,Premium
108,3,2025-11-28,36-45,Budget
109,3,2025-12-07,18-25,Frequent
110,1,2026-01-30,18-25,Budget
111,2,2026-02-06,18-25,Budget
112,1,2026-02-25,36-45,At-Risk
113,4,2025-09-11,26-35,At-Risk
114,4,2025-08-30,18-25,Frequent
115,2,2025-11-03,36-45,Frequent
116,2,2026-07-10,18-25,Frequent
117,1,2025-09-29,26-35,Frequent
118,3,2025-11-14,26-35,Premium
119,2,2025-12-08,36-45,Occasional
120,3,2025-11-27,36-45,Budget
121,5,2026-06-07,46-60,Budget
122,4,2026-03-04,46-60,At-Risk
123,4,2025-09-27,18-25,Premium
124,4,2025-10-24,26-35,Occasional
125,5,2026-02-01,36-45,At-Risk
126,5,2026-07-17,36-45,At-Risk
127,4,2025-09-28,46-60,Premium
128,5,2026-06-25,36-45,Frequent
129,5,2025-09-26,36-45,Frequent
130,5,2026-01-29,18-25,Occasional
131,1,2025-12-30,36-45,Occasional
132,4,2026-04-12,46-60,Budget
133,1,2025-09-16,18-25,Occasional
134,2,2026-03-27,46-60,At-Risk
135,5,2025-11-24,36-45,Occasional
136,1,2026-08-03,18-25,Frequent
137,3,2025-09-27,18-25,Occasional
138,2,2025-09-14,18-25,At-Risk
139,2,2025-10-20,18-25,At-Risk
140,5,2026-03-25,36-45,Frequent
141,5,2026-04-24,36-45,Premium
142,1,2025-10-31,18-25,Premium
143,2,2026-05-24,18-25,Budget
144,2,2026-08-11,26-35,At-Risk
145,3,2025-09-15,46-60,Occasional
146,2,2026-03-21,36-45,Premium
147,2,2026-01-25,18-25,Occasional
148,1,2026-05-17,36-45,Occasional
149,1,2026-05-10,46-60,Premium
150,5,2025-09-24,18-25,Premium
151,5,2025-10-15,18-25,Budget
152,3,2026-06-14,26-35,At-Risk
153,4,2026-08-08,18-25,Frequent
154,3,2026-04-06,46-60,At-Risk
155,1,2025-11-15,26-35,Premium
156,5,2026-05-06,18-25,Occasional
157,3,2025-11-17,46-60,Occasional
158,4,2026-07-30,18-25,Frequent
159,5,2026-07-16,36-45,At-Risk
160,1,2026-02-07,46-60,Premium
161,2,2026-08-09,18-25,At-Risk
162,5,2025-12-28,18-25,Frequent
163,2,2026-04-20,26-35,At-Risk
164,3,2026-07-16,18-25,Premium
165,5,2026-06-28,18-25,Occasional
166,1,2025-12-29,46-60,At-Risk
167,1,2026-01-10,18-25,Premium
168,5,2026-05-02,18-25,Frequent
169,3,2026-08-05,26-35,At-Risk
170,4,2026-05-07,36-45,Budget
171,1,2025-09-22,18-25,Budget
172,4,2025-11-14,26-35,At-Risk
173,4,2026-02-11,26-35,Premium
174,4,2026-06-22,26-35,Frequent
175,3,2025-09-20,46-60,Budget
176,4,2026-04-11,18-25,Budget
177,4,2025-10-25,26-35,Frequent
178,2,2025-10-22,26-35,Frequent
179,1,2026-08-12,36-45,Premium
180,4,2025-12-23,46-60,Budget
181,2,2026-02-03,36-45,Premium
182,1,2026-03-19,18-25,Premium
183,2,2025-10-22,46-60,Budget
