order_id,product_id,quantity,unit_price,cost
1,31,1,479,335
2,8,3,473,331
2,40,3,215,150
2,78,1,52,36
2,67,1,409,286
2,89,2,369,258
3,69,1,455,318
3,35,2,413,289
3,27,3,270,189
3,81,1,241,168
4,97,3,374,261
4,44,1,146,102
4,13,1,406,284
4,85,2,330,230
4,18,1,460,322
5,61,3,168,117
5,91,1,201,140
6,77,3,443,310
6,86,1,142,99
7,68,3,92,64
7,83,1,60,42
8,98,2,60,42
9,40,1,278,194
9,58,3,78,54
9,3,3,473,331
9,93,3,87,60
10,26,3,383,268
11,41,1,472,330
11,48,2,310,217
11,70,3,197,137
11,85,3,223,156
12,32,2,209,146
12,4,2,111,77
12,47,1,100,70
12,53,2,293,205
12,46,2,249,174
13,56,3,497,347
14,54,3,164,114
14,99,3,427,298
14,2,3,489,342
14,58,2,366,256
14,33,2,142,99
15,100,2,190,133
15,7,3,99,69
16,92,3,148,103
16,10,1,216,151
17,87,1,97,67
17,87,3,181,126
17,63,1,490,343
18,59,3,282,197
18,7,1,112,78
18,70,1,52,36
18,60,3,365,255
18,81,2,70,49
19,96,1,433,303
19,50,1,102,71
19,51,2,169,118
19,56,2,283,198
20,10,2,495,346
20,44,3,304,212
20,7,1,105,73
21,3,1,316,221
21,32,2,79,55
21,43,2,228,159
22,1,1,284,198
23,41,2,303,212
24,91,1,307,214
24,100,1,218,152
24,16,3,222,155
25,33,3,103,72
25,43,1,127,88
26,31,2,145,101
26,13,1,414,289
26,61,3,420,294
26,89,1,140,98
26,46,2,452,316
27,84,3,318,222
27,61,3,175,122
27,12,2,138,96
27,81,1,211,147
27,30,1,211,147
28,8,2,448,313
28,5,3,159,111
28,67,1,92,64
28,37,2,150,105
29,76,3,137,95
29,71,1,349,244
30,96,1,320,224
30,84,3,112,78
30,58,2,296,207
30,22,1,352,246
31,70,3,72,50
31,8,2,467,326
31,49,1,283,198
31,82,1,463,324
32,2,3,304,212
33,74,3,323,226
33,22,3,265,185
33,92,3,350,244
33,50,3,451,315
34,5,3,479,335
34,12,1,373,261
34,53,1,439,307
34,90,3,470,329
35,17,1,389,272
35,92,2,56,39
35,92,2,134,93
35,66,1,142,99
35,90,3,498,348
36,83,3,323,226
36,60,1,195,136
36,57,2,123,86
36,79,2,63,44
36,95,2,481,336
37,50,3,366,256
37,84,3,355,248
37,15,3,240,168
37,56,3,179,125
37,97,3,228,159
38,54,3,308,215
